
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][14][3] Writing EVENT d=10, t=2270, d_res=0, t_res=2270
[ENCODE] [0][14][4] Writing EVENT d=10, t=2202, d_res=0, t_res=2202
[ENCODE] [0][14][5] Writing EVENT d=10, t=2231, d_res=0, t_res=2231
[ENCODE] [0][14][6] Writing EVENT d=10, t=2275, d_res=0, t_res=2275
[ENCODE] [0][14][7] Writing EVENT d=10, t=2373, d_res=0, t_res=2373
[ENCODE] [0][14][8] Writing EVENT d=10, t=2440, d_res=0, t_res=2440
[ENCODE] [0][14][9] Writing EVENT d=10, t=2446, d_res=0, t_res=2446
[ENCODE] [0][14][10] Writing EVENT d=10, t=2440, d_res=0, t_res=2440
[ENCODE] [0][14][11] Writing EVENT d=10, t=2458, d_res=0, t_res=2458
[ENCODE] [0][14][12] Writing EVENT d=10, t=2513, d_res=0, t_res=2513
[ENCODE] [0][14][13] Writing EVENT d=10, t=2522, d_res=0, t_res=2522
[ENCODE] [0][14][14] Writing EVENT d=10, t=2510, d_res=0, t_res=2510
[ENCODE] [0][14][15] Writing EVENT d=10, t=2477, d_res=0, t_res=2477
[ENCODE] [0][15][0] Writing EVENT d=10, t=2196, d_res=0, t_res=2196
[ENCODE] [0][15][1] Writing EVENT d=10, t=2211, d_res=0, t_res=2211
[ENCODE] [0][15][2] Writing EVENT d=10, t=2212, d_res=0, t_res=2212
[ENCODE] [0][15][3] Writing EVENT d=10, t=2194, d_res=0, t_res=2194
[ENCODE] [0][15][4] Writing EVENT d=10, t=2164, d_res=0, t_res=2164
[ENCODE] [0][15][5] Writing EVENT d=10, t=2190, d_res=0, t_res=2190
[ENCODE] [0][15][6] Writing EVENT d=10, t=2288, d_res=0, t_res=2288
[ENCODE] [0][15][7] Writing EVENT d=10, t=2439, d_res=0, t_res=2439
[ENCODE] [0][15][8] Writing EVENT d=10, t=2480, d_res=0, t_res=2480
[ENCODE] [0][15][9] Writing EVENT d=10, t=2503, d_res=0, t_res=2503
[ENCODE] [0][15][10] Writing EVENT d=10, t=2473, d_res=0, t_res=2473
[ENCODE] [0][15][11] Writing EVENT d=10, t=2510, d_res=0, t_res=2510
